state,class_description,county,city,territory_code
al,edp,jefferson,birmingham,1
al,office,jefferson,birmingham,1
al,edp,jefferson,all_others,3
al,office,jefferson,all_others,3
al,edp,all_others,all_others,3
al,office,all_others,all_others,3
ak,edp,all_others,all_others,1
ak,office,all_others,all_others,1
ak,office,aleutians_east,all_others,1
ak,edp,aleutians_east,all_others,1
ak,edp,aleutians_west,all_others,1
ak,office,aleutians_west,all_others,1
ak,office,anchorage,all_others,1
ak,edp,anchorage,all_others,1
ak,edp,anchorage,anchorage,1
ak,office,anchorage,anchorage,1
ak,office,bethel,all_others,1
ak,edp,bethel,all_others,1
ak,edp,bristol_bay,all_others,1
ak,office,bristol_bay,all_others,1
ak,office,dillingham,all_others,1
ak,edp,dillingham,all_others,1
ak,edp,denali,all_others,1
ak,office,denali,all_others,1
ak,office,fairbanks,all_others,1
ak,edp,fairbanks,all_others,1
ak,edp,fairbanks,fairbanks,1
ak,office,fairbanks,fairbanks,1
ak,office,haines,all_others,1
ak,edp,haines,all_others,1
ak,edp,juneau,all_others,1
ak,office,juneau,all_others,1
ak,office,juneau,juneau,1
ak,edp,juneau,juneau,1
ak,edp,kenai,all_others,1
ak,office,kenai,all_others,1
ak,office,ketchikan,all_others,1
ak,edp,ketchikan,all_others,1
ak,edp,kodiak_island,all_others,1
ak,office,kodiak_island,all_others,1
ak,office,lake_and_peninsula,all_others,1
ak,edp,lake_and_peninsula,all_others,1
ak,edp,matanuska_susitna,all_others,1
ak,office,matanuska_susitna,all_others,1
ak,office,nome,all_others,1
ak,edp,nome,all_others,1
ak,edp,north_slope,all_others,1
ak,office,north_slope,all_others,1
ak,office,northwest_arctic,all_others,1
ak,edp,northwest_arctic,all_others,1
ak,edp,prince_of_wales_outer_ketchikan,all_others,1
ak,office,prince_of_wales_outer_ketchikan,all_others,1
ak,office,sitka,all_others,1
ak,edp,sitka,all_others,1
ak,edp,skagway_hoonah_angoon,all_others,1
ak,office,skagway_hoonah_angoon,all_others,1
ak,office,southeast_fairbanks,all_others,1
ak,edp,southeast_fairbanks,all_others,1
ak,edp,valdez_cordova,all_others,1
ak,office,valdez_cordova,all_others,1
ak,office,wade_hampton,all_others,1
ak,edp,wade_hampton,all_others,1
ak,edp,wrangell_petersburg,all_others,1
ak,office,wrangell_petersburg,all_others,1
ak,office,yakutat,all_others,1
ak,edp,yakutat,all_others,1
ak,edp,yukon_koyukuk,all_others,1
ak,office,yukon_koyukuk,all_others,1
ar,edp,all_others,all_others,1
ar,office,all_others,all_others,1
ne,edp,all_others,all_others,2
ne,office,douglas,all_others,2
ne,edp,douglas,omaha,1
ne,office,douglas,omaha,1
nv,edp,all_others,all_others,1
nv,office,all_others,all_others,1
nh,edp,all_others,all_others,1
nh,office,all_others,all_others,1
or,edp,all_others,all_others,1
or,office,all_others,all_others,1
or,edp,multnomah,all_others,1
or,office,multnomah,all_others,1
or,edp,multnomah,portland,2
or,office,multnomah,portland,2
ut,edp,all_others,all_others,1
ut,office,all_others,all_others,1
nc,edp,all_others,all_others,1
nc,office,all_others,all_others,1
nd,edp,all_others,all_others,1
nd,office,all_others,all_others,1
wy,edp,all_others,all_others,1
wy,office,all_others,all_others,1
ms,edp,all_others,all_others,1
ms,office,all_others,all_others,1
mt,edp,all_others,all_others,1
mt,office,all_others,all_others,1
sd,edp,all_others,all_others,1
sd,office,all_others,all_others,1
id,edp,all_others,all_others,1
id,office,all_others,all_others,1
sc,edp,all_others,all_others,1
sc,office,all_others,all_others,1
nm,edp,all_others,all_others,1
nm,office,all_others,all_others,1
wv,edp,all_others,all_others,1
wv,office,all_others,all_others,1
wa,edp,all_others,all_others,2
wa,office,all_others,all_others,2
wa,edp,king,all_others,2
wa,office,king,all_others,2
wa,edp,king,seattle,1
wa,office,king,seattle,1
ga,edp,dekalb,all_others,2
ga,office,dekalb,all_others,2
ga,edp,fulton,all_others,2
ga,office,fulton,all_others,2
ga,edp,all_others,all_others,3
ga,office,all_others,all_others,3
fl,edp,all_others,all_others,6
fl,office,all_others,all_others,6
fl,edp,broward,all_others,2
fl,office,broward,all_others,2
fl,edp,palm_beach,all_others,2
fl,office,palm_beach,all_others,2
fl,edp,duval,all_others,5
fl,office,duval,all_others,5
fl,edp,hillsborough,all_others,4
fl,office,hillsborough,all_others,4
fl,edp,pinellas,all_others,4
fl,office,pinellas,all_others,4
fl,edp,miami_dade,all_others,1
fl,office,miami_dade,all_others,1
ia,edp,polk,webster,1
ia,office,polk,webster,1
ia,edp,polk,walnut,1
ia,office,polk,walnut,1
ia,edp,polk,valley,1
ia,office,polk,valley,1
ia,edp,polk,saylor,1
ia,office,polk,saylor,1
ia,edp,polk,four_mile,1
ia,office,polk,four_mile,1
ia,edp,polk,des_moines,1
ia,office,polk,des_moines,1
ia,edp,polk,delaware,1
ia,office,polk,delaware,1
ia,edp,polk,clay,1
ia,office,polk,clay,1
ia,edp,polk,bloomfield,1
ia,office,polk,bloomfield,1
ia,edp,polk,allen,1
ia,office,polk,allen,1
ia,edp,polk,all_others,2
ia,office,polk,all_others,2
ia,edp,polk,all_others,2
ia,office,polk,all_others,2
ia,edp,all_others,all_others,2
ia,office,all_others,all_others,2
tn,edp,shelby,memphis,1
tn,office,shelby,memphis,1
tn,edp,hamilton,chattanooga,3
tn,office,hamilton,chattanooga,3
tn,edp,knox,knoxville,3
tn,office,knox,knoxville,3
tn,edp,davidson,nashville,3
tn,office,davidson,nashville,3
tn,edp,carter,all_others,4
tn,office,carter,all_others,4
tn,edp,sullivan,all_others,4
tn,office,sullivan,all_others,4
tn,edp,unicoi,all_others,4
tn,office,unicoi,all_others,4
tn,edp,washington,all_others,4
tn,office,washington,all_others,4
tn,edp,all_others,all_others,5
tn,office,all_others,all_others,5
la,edp,all_others,all_others,3
la,office,all_others,all_others,3
la,edp,all_others,new_orleans,1
la,office,all_others,new_orleans,1
la,edp,jefferson_parish,all_others,2
la,office,jefferson_parish,all_others,2
la,edp,st_bernard_parish,all_others,2
la,office,st_bernard_parish,all_others,2
la,edp,all_others,baton_rouge,4
la,office,all_others,baton_rouge,4
la,edp,all_others,shreveport,4
la,office,all_others,shreveport,4
va,edp,arlington,all_others,1
va,office,arlington,all_others,1
va,edp,fairfax,all_others,1
va,office,fairfax,all_others,1
va,edp,all_others,chesapeake,2
va,office,all_others,chesapeake,2
va,edp,all_others,norfolk,2
va,office,all_others,norfolk,2
va,edp,all_others,portsmouth,2
va,office,all_others,portsmouth,2
va,edp,all_others,virginia_beach,2
va,office,all_others,virginia_beach,2
va,edp,all_others,richmond,3
va,office,all_others,richmond,3
va,edp,henrico,all_others,3
va,office,henrico,all_others,3
va,edp,chesterfield,all_others,3
va,office,chesterfield,all_others,3
va,edp,all_others,all_others,4
va,office,all_others,all_others,4
va,edp,all_others,petersburg,4
va,office,all_others,petersburg,4
mo,edp,all_others,all_others,3
mo,office,all_others,all_others,3
mo,edp,clay,all_others,3
mo,office,clay,all_others,3
mo,edp,cass,all_others,3
mo,office,cass,all_others,3
mo,edp,jackson,all_others,3
mo,office,jackson,all_others,3
mo,edp,platte,all_others,3
mo,office,platte,all_others,3
mo,edp,platte,kansas_city,1
mo,office,platte,kansas_city,1
mo,edp,jackson,kansas_city,1
mo,office,jackson,kansas_city,1
mo,edp,cass,kansas_city,1
mo,office,cass,kansas_city,1
mo,edp,clay,kansas_city,1
mo,office,clay,kansas_city,1
mo,edp,st_louis,st_louis,2
mo,office,st_louis,st_louis,2
mo,edp,st_louis,all_others,2
mo,office,st_louis,all_others,2
ks,edp,all_others,all_others,2
ks,office,all_others,all_others,2
ks,edp,sedgwick,all_others,2
ks,office,sedgwick,all_others,2
ks,edp,johnson,all_others,2
ks,office,johnson,all_others,2
ks,edp,wyandotte,prairie,2
ks,office,wyandotte,prairie,2
ks,edp,wyandotte,delaware,2
ks,office,wyandotte,delaware,2
ks,edp,sedgwick,delano,1
ks,office,sedgwick,delano,1
ks,edp,sedgwick,gypsum,1
ks,office,sedgwick,gypsum,1
ks,edp,sedgwick,kechi,1
ks,office,sedgwick,kechi,1
ks,edp,sedgwick,minneha,1
ks,office,sedgwick,minneha,1
ks,edp,johnson,mission,1
ks,office,johnson,mission,1
ks,edp,all_others,park,1
ks,office,all_others,park,1
ks,edp,sedgwick,payne,1
ks,office,sedgwick,payne,1
ks,edp,sedgwick,riverside,1
ks,office,sedgwick,riverside,1
ks,edp,johnson,shawnee,1
ks,office,johnson,shawnee,1
ks,edp,sedgwick,waco,1
ks,office,sedgwick,waco,1
ks,edp,sedgwick,wichita,1
ks,office,sedgwick,wichita,1
ks,edp,wyandotte,all_others,1
ks,office,wyandotte,all_others,1
in,edp,all_others,all_others,6
in,office,all_others,all_others,6
in,edp,allen,all_others,6
in,office,allen,all_others,6
in,edp,allen,fort_wayne,4
in,office,allen,fort_wayne,4
in,edp,delaware,all_others,6
in,office,delaware,all_others,6
in,edp,delaware,muncie,4
in,office,delaware,muncie,4
in,edp,lake,all_others,6
in,office,lake,all_others,6
in,edp,lake,east_chicago,2
in,office,lake,east_chicago,2
in,edp,lake,east_gary,2
in,office,lake,east_gary,2
in,edp,lake,gary,2
in,office,lake,gary,2
in,edp,lake,hammond,2
in,office,lake,hammond,2
in,edp,lake,lake_station,2
in,office,lake,lake_station,2
in,edp,lake,whiting,2
in,office,lake,whiting,2
in,edp,marion,all_others,1
in,office,marion,all_others,1
in,edp,st_joseph,all_others,6
in,office,st_joseph,all_others,6
