state,selection_ordinance,rate
alabama,ordinance_yes,0
alaska,ordinance_yes,0
arizona,ordinance_yes,0
arkansas,ordinance_yes,0
california,ordinance_yes,0
colorado,ordinance_yes,0
connecticut,ordinance_yes,0
georgia,ordinance_yes,0
idaho,ordinance_yes,0
illinois,ordinance_yes,0
indiana,ordinance_yes,0
iowa,ordinance_yes,0
kansas,ordinance_yes,0
kentucky,ordinance_yes,0
michigan,ordinance_yes,0
minnesota,ordinance_yes,0
mississippi,ordinance_yes,0
missouri,ordinance_yes,0
montana,ordinance_yes,0
nebraska,ordinance_yes,0
nevada,ordinance_yes,0
new_hampshire,ordinance_yes,0
new_jersey,ordinance_yes,0
new_mexico,ordinance_yes,0
new_york,ordinance_yes,15
north_carolina,ordinance_yes,0
north_dakota,ordinance_yes,0
ohio,ordinance_yes,0
oklahoma,ordinance_yes,0
oregon,ordinance_yes,0
pennsylvania,ordinance_yes,0
south_carolina,ordinance_yes,0
south_dakota,ordinance_yes,0
tennessee,ordinance_yes,0
texas,ordinance_yes,0
utah,ordinance_yes,0
virginia,ordinance_yes,0
washington,ordinance_yes,0
west_virginia,ordinance_yes,0
wisconsin,ordinance_yes,0
wyoming,ordinance_yes,0
alabama,ordinance_no,0
alaska,ordinance_no,0
arizona,ordinance_no,0
arkansas,ordinance_no,0
california,ordinance_no,0
colorado,ordinance_no,0
connecticut,ordinance_no,0
georgia,ordinance_no,0
idaho,ordinance_no,0
illinois,ordinance_no,0
indiana,ordinance_no,0
iowa,ordinance_no,0
kansas,ordinance_no,0
kentucky,ordinance_no,0
michigan,ordinance_no,0
minnesota,ordinance_no,0
mississippi,ordinance_no,0
missouri,ordinance_no,0
montana,ordinance_no,0
nebraska,ordinance_no,0
nevada,ordinance_no,0
new_hampshire,ordinance_no,0
new_jersey,ordinance_no,0
new_mexico,ordinance_no,0
new_york,ordinance_no,0
north_carolina,ordinance_no,0
north_dakota,ordinance_no,0
ohio,ordinance_no,0
oklahoma,ordinance_no,0
oregon,ordinance_no,0
pennsylvania,ordinance_no,0
south_carolina,ordinance_no,0
south_dakota,ordinance_no,0
tennessee,ordinance_no,0
texas,ordinance_no,0
utah,ordinance_no,0
virginia,ordinance_no,0
washington,ordinance_no,0
west_virginia,ordinance_no,0
wisconsin,ordinance_no,0
wyoming,ordinance_no,0
