state,selection_restauration,rate
alabama,restauration_yes,0
alaska,restauration_yes,0
arizona,restauration_yes,0
arkansas,restauration_yes,0
california,restauration_yes,0
colorado,restauration_yes,0
connecticut,restauration_yes,0
georgia,restauration_yes,0
idaho,restauration_yes,0
illinois,restauration_yes,0
indiana,restauration_yes,0
iowa,restauration_yes,0
kansas,restauration_yes,0
kentucky,restauration_yes,0
michigan,restauration_yes,0
minnesota,restauration_yes,0
mississippi,restauration_yes,0
missouri,restauration_yes,0
montana,restauration_yes,0
nebraska,restauration_yes,0
nevada,restauration_yes,0
new_hampshire,restauration_yes,0
new_jersey,restauration_yes,0
new_mexico,restauration_yes,0
new_york,restauration_yes,15
north_carolina,restauration_yes,0
north_dakota,restauration_yes,0
ohio,restauration_yes,0
oklahoma,restauration_yes,0
oregon,restauration_yes,0
pennsylvania,restauration_yes,0
south_carolina,restauration_yes,0
south_dakota,restauration_yes,0
tennessee,restauration_yes,0
texas,restauration_yes,0
utah,restauration_yes,0
virginia,restauration_yes,0
washington,restauration_yes,0
west_virginia,restauration_yes,0
wisconsin,restauration_yes,0
wyoming,restauration_yes,0
alabama,restauration_no,0
alaska,restauration_no,0
arizona,restauration_no,0
arkansas,restauration_no,0
california,restauration_no,0
colorado,restauration_no,0
connecticut,restauration_no,0
georgia,restauration_no,0
idaho,restauration_no,0
illinois,restauration_no,0
indiana,restauration_no,0
iowa,restauration_no,0
kansas,restauration_no,0
kentucky,restauration_no,0
michigan,restauration_no,0
minnesota,restauration_no,0
mississippi,restauration_no,0
missouri,restauration_no,0
montana,restauration_no,0
nebraska,restauration_no,0
nevada,restauration_no,0
new_hampshire,restauration_no,0
new_jersey,restauration_no,0
new_mexico,restauration_no,0
new_york,restauration_no,0
north_carolina,restauration_no,0
north_dakota,restauration_no,0
ohio,restauration_no,0
oklahoma,restauration_no,0
oregon,restauration_no,0
pennsylvania,restauration_no,0
south_carolina,restauration_no,0
south_dakota,restauration_no,0
tennessee,restauration_no,0
texas,restauration_no,0
utah,restauration_no,0
virginia,restauration_no,0
washington,restauration_no,0
west_virginia,restauration_no,0
wisconsin,restauration_no,0
wyoming,restauration_no,0
