state,construction_type,rate
iowa,frame,1.3
iowa,masonry_joisted,1
iowa,non_combustible,0.56
iowa,masonry_non_combustible,0.45
iowa,modified_fire_resistive,0.25
iowa,fire_resistive,0.25
arkansas,frame,1.3
arkansas,masonry_joisted,1
arkansas,non_combustible,0.56
arkansas,masonry_non_combustible,0.45
arkansas,modified_fire_resistive,0.25
arkansas,fire_resistive,0.25
colorado,frame,1.3
colorado,masonry_joisted,1
colorado,non_combustible,0.6
colorado,masonry_non_combustible,0.45
colorado,modified_fire_resistive,0.25
colorado,fire_resistive,0.25
georgia,frame,1.3
georgia,masonry_joisted,1
georgia,non_combustible,0.563
georgia,masonry_non_combustible,0.45
georgia,modified_fire_resistive,0.25
georgia,fire_resistive,0.25
illinois,frame,1.3
illinois,masonry_joisted,1
illinois,non_combustible,0.6
illinois,masonry_non_combustible,0.45
illinois,modified_fire_resistive,0.25
illinois,fire_resistive,0.25
indiana,frame,1.25
indiana,masonry_joisted,1
indiana,non_combustible,0.601
indiana,masonry_non_combustible,0.45
indiana,modified_fire_resistive,0.25
indiana,fire_resistive,0.25
kentucky,frame,1.3
kentucky,masonry_joisted,1
kentucky,non_combustible,0.56
kentucky,masonry_non_combustible,0.45
kentucky,modified_fire_resistive,0.25
kentucky,fire_resistive,0.25
minnesota,frame,1.2
minnesota,masonry_joisted,1
minnesota,non_combustible,0.563
minnesota,masonry_non_combustible,0.45
minnesota,modified_fire_resistive,0.25
minnesota,fire_resistive,0.25
missouri,frame,1.3
missouri,masonry_joisted,1
missouri,non_combustible,0.563
missouri,masonry_non_combustible,0.45
missouri,modified_fire_resistive,0.25
missouri,fire_resistive,0.25
montana,frame,1.3
montana,masonry_joisted,1
montana,non_combustible,0.6
montana,masonry_non_combustible,0.45
montana,modified_fire_resistive,0.25
montana,fire_resistive,0.25
nebraska,frame,1.3
nebraska,masonry_joisted,1
nebraska,non_combustible,0.6
nebraska,masonry_non_combustible,0.45
nebraska,modified_fire_resistive,0.25
nebraska,fire_resistive,0.25
north_dakota,frame,1.3
north_dakota,masonry_joisted,1
north_dakota,non_combustible,0.6
north_dakota,masonry_non_combustible,0.45
north_dakota,modified_fire_resistive,0.25
north_dakota,fire_resistive,0.25
ohio,frame,1.3
ohio,masonry_joisted,1
ohio,non_combustible,0.6
ohio,masonry_non_combustible,0.45
ohio,modified_fire_resistive,0.25
ohio,fire_resistive,0.25
pennsylvania,frame,1.3
pennsylvania,masonry_joisted,1
pennsylvania,non_combustible,0.6
pennsylvania,masonry_non_combustible,0.45
pennsylvania,modified_fire_resistive,0.25
pennsylvania,fire_resistive,0.25
south_dakota,frame,1.3
south_dakota,masonry_joisted,1
south_dakota,non_combustible,0.563
south_dakota,masonry_non_combustible,0.45
south_dakota,modified_fire_resistive,0.25
south_dakota,fire_resistive,0.25
texas,frame,1.3
texas,masonry_joisted,1
texas,non_combustible,0.6
texas,masonry_non_combustible,0.45
texas,modified_fire_resistive,0.25
texas,fire_resistive,0.25
washington,frame,1.4
washington,masonry_joisted,1
washington,non_combustible,0.6
washington,masonry_non_combustible,0.5
washington,modified_fire_resistive,0.3
washington,fire_resistive,0.3
wyoming,frame,1.3
wyoming,masonry_joisted,1
wyoming,non_combustible,0.56
wyoming,masonry_non_combustible,0.45
wyoming,modified_fire_resistive,0.25
wyoming,fire_resistive,0.25
new_mexico,frame,1.3
new_mexico,masonry_joisted,1
new_mexico,non_combustible,0.56
new_mexico,masonry_non_combustible,0.45
new_mexico,modified_fire_resistive,0.25
new_mexico,fire_resistive,0.25
idaho,frame,1.3
idaho,masonry_joisted,1
idaho,non_combustible,0.563
idaho,masonry_non_combustible,0.45
idaho,modified_fire_resistive,0.25
idaho,fire_resistive,0.25
oklahoma,frame,1.3
oklahoma,masonry_joisted,1
oklahoma,non_combustible,0.56
oklahoma,masonry_non_combustible,0.45
oklahoma,modified_fire_resistive,0.25
oklahoma,fire_resistive,0.25
south_carolina,frame,1.3
south_carolina,masonry_joisted,1
south_carolina,non_combustible,0.563
south_carolina,masonry_non_combustible,0.45
south_carolina,modified_fire_resistive,0.25
south_carolina,fire_resistive,0.25
north_carolina,frame,1.3
north_carolina,masonry_joisted,1
north_carolina,non_combustible,0.6
north_carolina,masonry_non_combustible,0.45
north_carolina,modified_fire_resistive,0.25
north_carolina,fire_resistive,0.25
michigan,frame,1.3
michigan,masonry_joisted,1
michigan,non_combustible,0.6
michigan,masonry_non_combustible,0.45
michigan,modified_fire_resistive,0.25
michigan,fire_resistive,0.25
tennessee,frame,1.4
tennessee,masonry_joisted,1
tennessee,non_combustible,0.592
tennessee,masonry_non_combustible,0.45
tennessee,modified_fire_resistive,0.25
tennessee,fire_resistive,0.25
mississippi,frame,1.4
mississippi,masonry_joisted,1
mississippi,non_combustible,0.8
mississippi,masonry_non_combustible,0.45
mississippi,modified_fire_resistive,0.25
mississippi,fire_resistive,0.25
utah,frame,1.3
utah,masonry_joisted,1
utah,non_combustible,0.563
utah,masonry_non_combustible,0.45
utah,modified_fire_resistive,0.25
utah,fire_resistive,0.25
wisconsin,frame,1.3
wisconsin,masonry_joisted,1
wisconsin,non_combustible,0.622
wisconsin,masonry_non_combustible,0.45
wisconsin,modified_fire_resistive,0.25
wisconsin,fire_resistive,0.25
nevada,frame,1.3
nevada,masonry_joisted,1
nevada,non_combustible,0.56
nevada,masonry_non_combustible,0.45
nevada,modified_fire_resistive,0.25
nevada,fire_resistive,0.25
kansas,frame,1.2
kansas,masonry_joisted,1
kansas,non_combustible,0.563
kansas,masonry_non_combustible,0.45
kansas,modified_fire_resistive,0.25
kansas,fire_resistive,0.25
