state,construction_type,territory_code,rate
new_york,frame,111,1.3
new_york,masonry_joisted,111,1
new_york,non_combustible,111,0.6
new_york,masonry_non_combustible,111,0.607
new_york,modified_fire_resistive,111,0.435
new_york,fire_resistive,111,0.435
new_york,frame,112,1.3
new_york,masonry_joisted,112,1
new_york,non_combustible,112,0.6
new_york,masonry_non_combustible,112,0.607
new_york,modified_fire_resistive,112,0.435
new_york,fire_resistive,112,0.435
new_york,frame,113,1.3
new_york,masonry_joisted,113,1
new_york,non_combustible,113,0.6
new_york,masonry_non_combustible,113,0.607
new_york,modified_fire_resistive,113,0.435
new_york,fire_resistive,113,0.435
new_york,frame,114,1.3
new_york,masonry_joisted,114,1
new_york,non_combustible,114,0.6
new_york,masonry_non_combustible,114,0.607
new_york,modified_fire_resistive,114,0.435
new_york,fire_resistive,114,0.435
new_york,frame,115,1.3
new_york,masonry_joisted,115,1
new_york,non_combustible,115,0.6
new_york,masonry_non_combustible,115,0.607
new_york,modified_fire_resistive,115,0.435
new_york,fire_resistive,115,0.435
new_york,frame,116,1.3
new_york,masonry_joisted,116,1
new_york,non_combustible,116,0.6
new_york,masonry_non_combustible,116,0.607
new_york,modified_fire_resistive,116,0.435
new_york,fire_resistive,116,0.435
new_york,frame,126,1.3
new_york,masonry_joisted,126,1
new_york,non_combustible,126,0.6
new_york,masonry_non_combustible,126,0.607
new_york,modified_fire_resistive,126,0.435
new_york,fire_resistive,126,0.435
new_york,frame,136,1.3
new_york,masonry_joisted,136,1
new_york,non_combustible,136,0.6
new_york,masonry_non_combustible,136,0.607
new_york,modified_fire_resistive,136,0.435
new_york,fire_resistive,136,0.435
new_york,frame,141,1.95
new_york,masonry_joisted,141,1
new_york,non_combustible,141,0.5
new_york,masonry_non_combustible,141,0.607
new_york,modified_fire_resistive,141,0.435
new_york,fire_resistive,141,0.435
new_york,frame,142,1.95
new_york,masonry_joisted,142,1
new_york,non_combustible,142,0.5
new_york,masonry_non_combustible,142,0.607
new_york,modified_fire_resistive,142,0.435
new_york,fire_resistive,142,0.435
new_york,frame,143,1.95
new_york,masonry_joisted,143,1
new_york,non_combustible,143,0.5
new_york,masonry_non_combustible,143,0.607
new_york,modified_fire_resistive,143,0.435
new_york,fire_resistive,143,0.435
new_york,frame,144,1.95
new_york,masonry_joisted,144,1
new_york,non_combustible,144,0.5
new_york,masonry_non_combustible,144,0.607
new_york,modified_fire_resistive,144,0.435
new_york,fire_resistive,144,0.435
new_york,frame,151,1.3
new_york,masonry_joisted,151,1
new_york,non_combustible,151,0.6
new_york,masonry_non_combustible,151,0.607
new_york,modified_fire_resistive,151,0.435
new_york,fire_resistive,151,0.435
new_york,frame,152,1.3
new_york,masonry_joisted,152,1
new_york,non_combustible,152,0.6
new_york,masonry_non_combustible,152,0.607
new_york,modified_fire_resistive,152,0.435
new_york,fire_resistive,152,0.435
new_york,frame,153,1.3
new_york,masonry_joisted,153,1
new_york,non_combustible,153,0.6
new_york,masonry_non_combustible,153,0.607
new_york,modified_fire_resistive,153,0.435
new_york,fire_resistive,153,0.435
new_york,frame,154,1.3
new_york,masonry_joisted,154,1
new_york,non_combustible,154,0.6
new_york,masonry_non_combustible,154,0.607
new_york,modified_fire_resistive,154,0.435
new_york,fire_resistive,154,0.435
new_york,frame,155,1.3
new_york,masonry_joisted,155,1
new_york,non_combustible,155,0.6
new_york,masonry_non_combustible,155,0.607
new_york,modified_fire_resistive,155,0.435
new_york,fire_resistive,155,0.435
new_york,frame,156,1.3
new_york,masonry_joisted,156,1
new_york,non_combustible,156,0.6
new_york,masonry_non_combustible,156,0.607
new_york,modified_fire_resistive,156,0.435
new_york,fire_resistive,156,0.435
alabama,frame,111,1.342
alabama,masonry_joisted,111,1
alabama,non_combustible,111,0.782
alabama,masonry_non_combustible,111,0.563
alabama,modified_fire_resistive,111,0.388
alabama,fire_resistive,111,0.388
alabama,frame,112,1.342
alabama,masonry_joisted,112,1
alabama,non_combustible,112,0.782
alabama,masonry_non_combustible,112,0.563
alabama,modified_fire_resistive,112,0.388
alabama,fire_resistive,112,0.388
alabama,frame,113,1.342
alabama,masonry_joisted,113,1
alabama,non_combustible,113,0.782
alabama,masonry_non_combustible,113,0.563
alabama,modified_fire_resistive,113,0.388
alabama,fire_resistive,113,0.388
alabama,frame,114,1.342
alabama,masonry_joisted,114,1
alabama,non_combustible,114,0.782
alabama,masonry_non_combustible,114,0.563
alabama,modified_fire_resistive,114,0.388
alabama,fire_resistive,114,0.388
alabama,frame,122,1.342
alabama,masonry_joisted,122,1
alabama,non_combustible,122,0.782
alabama,masonry_non_combustible,122,0.563
alabama,modified_fire_resistive,122,0.388
alabama,fire_resistive,122,0.388
new_jersey,frame,111,1.2
new_jersey,masonry_joisted,111,1
new_jersey,non_combustible,111,0.8
new_jersey,masonry_non_combustible,111,0.607
new_jersey,modified_fire_resistive,111,0.435
new_jersey,fire_resistive,111,0.435
new_jersey,frame,112,1.2
new_jersey,masonry_joisted,112,1
new_jersey,non_combustible,112,0.8
new_jersey,masonry_non_combustible,112,0.607
new_jersey,modified_fire_resistive,112,0.435
new_jersey,fire_resistive,112,0.435
new_jersey,frame,113,1.2
new_jersey,masonry_joisted,113,1
new_jersey,non_combustible,113,0.8
new_jersey,masonry_non_combustible,113,0.607
new_jersey,modified_fire_resistive,113,0.435
new_jersey,fire_resistive,113,0.435
new_jersey,frame,122,1.2
new_jersey,masonry_joisted,122,1
new_jersey,non_combustible,122,0.8
new_jersey,masonry_non_combustible,122,0.607
new_jersey,modified_fire_resistive,122,0.435
new_jersey,fire_resistive,122,0.435
new_jersey,frame,132,1.2
new_jersey,masonry_joisted,132,1
new_jersey,non_combustible,132,0.8
new_jersey,masonry_non_combustible,132,0.607
new_jersey,modified_fire_resistive,132,0.435
new_jersey,fire_resistive,132,0.435
new_jersey,frame,141,1.2
new_jersey,masonry_joisted,141,1
new_jersey,non_combustible,141,0.8
new_jersey,masonry_non_combustible,141,0.607
new_jersey,modified_fire_resistive,141,0.435
new_jersey,fire_resistive,141,0.435
new_jersey,frame,142,1.2
new_jersey,masonry_joisted,142,1
new_jersey,non_combustible,142,0.8
new_jersey,masonry_non_combustible,142,0.607
new_jersey,modified_fire_resistive,142,0.435
new_jersey,fire_resistive,142,0.435
oregon,frame,110,1.3
oregon,masonry_joisted,110,1
oregon,non_combustible,110,0.6
oregon,masonry_non_combustible,110,0.607
oregon,modified_fire_resistive,110,0.435
oregon,fire_resistive,110,0.435
oregon,frame,120,1.3
oregon,masonry_joisted,120,1
oregon,non_combustible,120,0.6
oregon,masonry_non_combustible,120,0.607
oregon,modified_fire_resistive,120,0.435
oregon,fire_resistive,120,0.435
oregon,frame,130,1.3
oregon,masonry_joisted,130,1
oregon,non_combustible,130,0.6
oregon,masonry_non_combustible,130,0.607
oregon,modified_fire_resistive,130,0.435
oregon,fire_resistive,130,0.435
west_virginia,frame,110,1.3
west_virginia,masonry_joisted,110,1
west_virginia,non_combustible,110,0.84
west_virginia,masonry_non_combustible,110,0.607
west_virginia,modified_fire_resistive,110,0.435
west_virginia,fire_resistive,110,0.435
west_virginia,frame,120,1.3
west_virginia,masonry_joisted,120,1
west_virginia,non_combustible,120,0.84
west_virginia,masonry_non_combustible,120,0.607
west_virginia,modified_fire_resistive,120,0.435
west_virginia,fire_resistive,120,0.435
west_virginia,frame,130,1.3
west_virginia,masonry_joisted,130,1
west_virginia,non_combustible,130,0.84
west_virginia,masonry_non_combustible,130,0.607
west_virginia,modified_fire_resistive,130,0.435
west_virginia,fire_resistive,130,0.435
new_hampshire,frame,111,1.3
new_hampshire,masonry_joisted,111,1
new_hampshire,non_combustible,111,0.889
new_hampshire,masonry_non_combustible,111,0.607
new_hampshire,modified_fire_resistive,111,0.435
new_hampshire,fire_resistive,111,0.435
new_hampshire,frame,112,1.3
new_hampshire,masonry_joisted,112,1
new_hampshire,non_combustible,112,0.889
new_hampshire,masonry_non_combustible,112,0.607
new_hampshire,modified_fire_resistive,112,0.435
new_hampshire,fire_resistive,112,0.435
new_hampshire,frame,113,1.3
new_hampshire,masonry_joisted,113,1
new_hampshire,non_combustible,113,0.889
new_hampshire,masonry_non_combustible,113,0.607
new_hampshire,modified_fire_resistive,113,0.435
new_hampshire,fire_resistive,113,0.435
new_hampshire,frame,114,1.3
new_hampshire,masonry_joisted,114,1
new_hampshire,non_combustible,114,0.889
new_hampshire,masonry_non_combustible,114,0.607
new_hampshire,modified_fire_resistive,114,0.435
new_hampshire,fire_resistive,114,0.435
new_hampshire,frame,122,1.3
new_hampshire,masonry_joisted,122,1
new_hampshire,non_combustible,122,0.889
new_hampshire,masonry_non_combustible,122,0.607
new_hampshire,modified_fire_resistive,122,0.435
new_hampshire,fire_resistive,122,0.435
new_hampshire,frame,132,1.3
new_hampshire,masonry_joisted,132,1
new_hampshire,non_combustible,132,0.889
new_hampshire,masonry_non_combustible,132,0.607
new_hampshire,modified_fire_resistive,132,0.435
new_hampshire,fire_resistive,132,0.435
new_hampshire,frame,133,1.3
new_hampshire,masonry_joisted,133,1
new_hampshire,non_combustible,133,0.889
new_hampshire,masonry_non_combustible,133,0.607
new_hampshire,modified_fire_resistive,133,0.435
new_hampshire,fire_resistive,133,0.435
california,frame,110,1.342
california,masonry_joisted,110,1
