state,territory_code,construction_type,rate
iowa,111,frame,0.146
iowa,111,masonry_joisted,0.146
iowa,111,non_combustible,0.146
iowa,111,masonry_non_combustible,0.019
iowa,111,modified_fire_resistive,0.015
iowa,111,fire_resistive,0.015
iowa,112,frame,0.159
iowa,112,masonry_joisted,0.159
iowa,112,non_combustible,0.159
iowa,112,masonry_non_combustible,0.021
iowa,112,modified_fire_resistive,0.017
iowa,112,fire_resistive,0.017
iowa,113,frame,0.149
iowa,113,masonry_joisted,0.149
iowa,113,non_combustible,0.149
iowa,113,masonry_non_combustible,0.02
iowa,113,modified_fire_resistive,0.016
iowa,113,fire_resistive,0.016
iowa,121,frame,0.146
iowa,121,masonry_joisted,0.146
iowa,121,non_combustible,0.146
iowa,121,masonry_non_combustible,0.019
iowa,121,modified_fire_resistive,0.015
iowa,121,fire_resistive,0.015
iowa,122,frame,0.159
iowa,122,masonry_joisted,0.159
iowa,122,non_combustible,0.159
iowa,122,masonry_non_combustible,0.021
iowa,122,modified_fire_resistive,0.017
iowa,122,fire_resistive,0.017
iowa,123,frame,0.149
iowa,123,masonry_joisted,0.149
iowa,123,non_combustible,0.149
iowa,123,masonry_non_combustible,0.02
iowa,123,modified_fire_resistive,0.016
iowa,123,fire_resistive,0.016
arkansas,111,frame,0.207
arkansas,111,masonry_joisted,0.207
arkansas,111,non_combustible,0.207
arkansas,111,masonry_non_combustible,0.082
arkansas,111,modified_fire_resistive,0.071
arkansas,111,fire_resistive,0.071
arkansas,112,frame,0.203
arkansas,112,masonry_joisted,0.203
arkansas,112,non_combustible,0.203
arkansas,112,masonry_non_combustible,0.081
arkansas,112,modified_fire_resistive,0.069
arkansas,112,fire_resistive,0.069
arkansas,122,frame,0.203
arkansas,122,masonry_joisted,0.203
arkansas,122,non_combustible,0.203
arkansas,122,masonry_non_combustible,0.081
arkansas,122,modified_fire_resistive,0.069
arkansas,122,fire_resistive,0.069
arkansas,131,frame,0.207
arkansas,131,masonry_joisted,0.207
arkansas,131,non_combustible,0.207
arkansas,131,masonry_non_combustible,0.082
arkansas,131,modified_fire_resistive,0.071
arkansas,131,fire_resistive,0.071
arkansas,132,frame,0.203
arkansas,132,masonry_joisted,0.203
arkansas,132,non_combustible,0.203
arkansas,132,masonry_non_combustible,0.081
arkansas,132,modified_fire_resistive,0.069
arkansas,132,fire_resistive,0.069
colorado,111,frame,0.026
colorado,111,masonry_joisted,0.026
colorado,111,non_combustible,0.026
colorado,111,masonry_non_combustible,0.011
colorado,111,modified_fire_resistive,0.006
colorado,111,fire_resistive,0.006
colorado,112,frame,0.026
