extended_coverage_deductible,upper_limit,rate
deductible_1,50000,0.865853658536585
deductible_1,100000,0.895348837209302
deductible_2,50000,0.702380952380952
deductible_2,100000,0.702380952380952
deductible_2,250000,0.806818181818182
deductible_2,500000,0.849795828275025
deductible_3,50000,0.64453125
deductible_3,100000,0.64453125
deductible_3,250000,0.64453125
deductible_3,500000,0.717360114777618
deductible_4,50000,0.57421875
deductible_4,100000,0.57421875
deductible_4,250000,0.57421875
deductible_4,500000,0.6029296875
deductible_4,750000,0.633076171875
deductible_4,1000000,0.66472998046875
deductible_4,1250000,0.697966479492188
deductible_4,1500000,0.732864803466797
deductible_4,1750000,0.769508043640137
deductible_4,2000000,0.807983445822144
deductible_4,2250000,0.848382618113251
deductible_4,2500000,0.890801749018914
deductible_5,50000,0.468871506335483
deductible_5,100000,0.468871506335483
deductible_5,250000,0.468871506335483
deductible_5,500000,0.468871506335483
deductible_5,750000,0.487626366588903
deductible_5,1000000,0.487626366588903
deductible_5,1250000,0.507131421252459
deductible_5,1500000,0.507131421252459
deductible_5,1750000,0.527416678102557
deductible_5,2000000,0.527416678102557
deductible_5,2250000,0.548513345226659
deductible_5,2500000,0.548513345226659
deductible_5,3000000,0.570453879035726
deductible_5,3500000,0.593272034197155
deductible_5,4000000,0.617002915565041
deductible_5,4500000,0.641683032187643
deductible_5,5000000,0.667350353475148
deductible_6,50000,0.457435615937057
deductible_6,100000,0.457435615937057
deductible_6,250000,0.457435615937057
deductible_6,500000,0.457435615937057
deductible_6,750000,0.471158684415169
deductible_6,1000000,0.471158684415169
deductible_6,1250000,0.485293444947624
deductible_6,1500000,0.485293444947624
deductible_6,1750000,0.499852248296052
deductible_6,2000000,0.499852248296052
deductible_6,2250000,0.514847815744934
deductible_6,2500000,0.514847815744934
deductible_6,3000000,0.530293250217282
deductible_6,3500000,0.5462020477238
deductible_6,4000000,0.562588109155515
deductible_6,4500000,0.57946575243018
deductible_6,5000000,0.596849725003085
deductible_6,5500000,0.614755216753178
deductible_6,6000000,0.633197873255773
deductible_6,6500000,0.652193809453446
deductible_6,7000000,0.67175962373705
deductible_6,7500000,0.691912412449162
deductible_6,8000000,0.712669784822636
deductible_6,8500000,0.734049878367315
deductible_6,9000000,0.756071374718335
deductible_6,9500000,0.778753515959885
deductible_6,100000000,0.802116121438682
deductible_7,50000,0.44599972553863
deductible_7,100000,0.44599972553863
deductible_7,250000,0.44599972553863
deductible_7,500000,0.44599972553863
deductible_7,750000,0.454919720049403
deductible_7,1000000,0.454919720049403
deductible_7,1250000,0.464018114450391
deductible_7,1500000,0.464018114450391
deductible_7,1750000,0.473298476739399
deductible_7,2000000,0.473298476739399
deductible_7,2250000,0.482764446274187
deductible_7,2500000,0.482764446274187
deductible_7,3000000,0.492419735199671
deductible_7,3500000,0.502268129903664
deductible_7,4000000,0.512313492501737
deductible_7,4500000,0.522559762351772
deductible_7,5000000,0.533010957598808
deductible_7,5500000,0.543671176750784
deductible_7,6000000,0.554544600285799
deductible_7,6500000,0.565635492291515
deductible_7,7000000,0.576948202137346
deductible_7,7500000,0.588487166180093
deductible_7,8000000,0.600256909503695
deductible_7,8500000,0.612262047693768
deductible_7,9000000,0.624507288647644
deductible_7,9500000,0.636997434420597
deductible_7,100000000,0.649737383109009
deductible_8,50000,0.375
deductible_8,100000,0.375
deductible_8,250000,0.375
deductible_8,500000,0.375
deductible_8,750000,0.37875
deductible_8,1000000,0.37875
deductible_8,1250000,0.3825375
deductible_8,1500000,0.3825375
deductible_8,1750000,0.386362875
deductible_8,2000000,0.386362875
deductible_8,2250000,0.39022650375
deductible_8,2500000,0.39022650375
deductible_8,3000000,0.3941287687875
deductible_8,3500000,0.398070056475375
deductible_8,4000000,0.402050757040129
deductible_8,4500000,0.40607126461053
deductible_8,5000000,0.410131977256635
deductible_8,5500000,0.414233297029202
deductible_8,6000000,0.418375629999494
deductible_8,6500000,0.422559386299489
deductible_8,7000000,0.426784980162484
deductible_8,7500000,0.431052829964108
deductible_8,8000000,0.43536335826375
deductible_8,8500000,0.439716991846387
deductible_8,9000000,0.444114161764851
deductible_8,9500000,0.448555303382499
deductible_8,100000000,0.453040856416324
deductible_9,50000,0.234375
deductible_9,100000,0.234375
deductible_9,250000,0.234375
deductible_9,500000,0.234375
deductible_9,750000,0.23671875
deductible_9,1000000,0.23671875
deductible_9,1250000,0.2390859375
deductible_9,1500000,0.2390859375
deductible_9,1750000,0.241476796875
deductible_9,2000000,0.241476796875
deductible_9,2250000,0.24389156484375
deductible_9,2500000,0.24389156484375
deductible_9,3000000,0.246330480492188
deductible_9,3500000,0.248793785297109
deductible_9,4000000,0.25128172315008
deductible_9,4500000,0.253794540381581
deductible_9,5000000,0.256332485785397
deductible_9,5500000,0.258895810643251
deductible_9,6000000,0.261484768749684
deductible_9,6500000,0.26409961643718
deductible_9,7000000,0.266740612601552
deductible_9,7500000,0.269408018727568
deductible_9,8000000,0.272102098914843
deductible_9,8500000,0.274823119903992
deductible_9,9000000,0.277571351103032
deductible_9,9500000,0.280347064614062
deductible_9,100000000,0.283150535260203
deductible_10,750000,0.199
deductible_10,1000000,0.199
deductible_10,1250000,0.2014875
deductible_10,1500000,0.2014875
deductible_10,1750000,0.20400609375
deductible_10,2000000,0.20400609375
deductible_10,2250000,0.206556169921875
deductible_10,2500000,0.206556169921875
deductible_10,3000000,0.209138122045898
deductible_10,3500000,0.211752348571472
deductible_10,4000000,0.214399252928616
deductible_10,4500000,0.217079243590223
deductible_10,5000000,0.219792734135101
deductible_10,5500000,0.22254014331179
deductible_10,6000000,0.225321895103187
deductible_10,6500000,0.228138418791977
deductible_10,7000000,0.230990149026877
deductible_10,7500000,0.233877525889713
deductible_10,8000000,0.236800994963334
deductible_10,8500000,0.239761007400376
deductible_10,9000000,0.24275801999288
deductible_10,9500000,0.245792495242791
deductible_10,100000000,0.248864901433326
deductible_11,1250000,0.185
deductible_11,1500000,0.185
deductible_11,1750000,0.1873125
deductible_11,2000000,0.1873125
deductible_11,2250000,0.18965390625
deductible_11,2500000,0.18965390625
deductible_11,3000000,0.192024580078125
deductible_11,3500000,0.194424887329102
deductible_11,4000000,0.196855198420715
deductible_11,4500000,0.199315888400974
deductible_11,5000000,0.201807337005986
deductible_11,5500000,0.204329928718561
deductible_11,6000000,0.206884052827543
deductible_11,6500000,0.209470103487888
deductible_11,7000000,0.212088479781486
deductible_11,7500000,0.214739585778755
deductible_11,8000000,0.217423830600989
deductible_11,8500000,0.220141628483501
deductible_11,9000000,0.222893398839545
deductible_11,9500000,0.22567956632504
deductible_11,100000000,0.228500560904102
deductible_12,50000,0.57421875
deductible_12,100000,0.57421875
