state,suspectubility,territory_code_per_location,rate
arkansas,low,111,0.245
arkansas,average,111,0.245
arkansas,high,111,0.245
arkansas,low,112,0.245
arkansas,average,112,0.245
arkansas,high,112,0.245
arkansas,low,122,0.196
arkansas,average,122,0.196
arkansas,high,122,0.196
arkansas,low,131,0.206
arkansas,average,131,0.206
arkansas,high,131,0.206
arkansas,low,132,0.206
arkansas,average,132,0.206
arkansas,high,132,0.206
colorado,low,111,0.088
colorado,average,111,0.088
colorado,high,111,0.088
colorado,low,112,0.088
colorado,average,112,0.088
colorado,high,112,0.088
colorado,low,113,0.088
colorado,average,113,0.088
colorado,high,113,0.088
colorado,low,114,0.088
colorado,average,114,0.088
colorado,high,114,0.088
colorado,low,124,0.085
colorado,average,124,0.085
colorado,high,124,0.085
colorado,low,133,0.073
colorado,average,133,0.073
colorado,high,133,0.073
colorado,low,134,0.073
colorado,average,134,0.073
colorado,high,134,0.073
georgia,low,111,0.16
georgia,average,111,0.16
georgia,high,111,0.16
georgia,low,112,0.16
georgia,average,112,0.16
georgia,high,112,0.16
georgia,low,113,0.16
georgia,average,113,0.16
georgia,high,113,0.16
georgia,low,114,0.16
georgia,average,114,0.16
georgia,high,114,0.16
georgia,low,122,0.168
georgia,average,122,0.168
georgia,high,122,0.168
georgia,low,123,0.168
georgia,average,123,0.168
georgia,high,123,0.168
georgia,low,124,0.168
georgia,average,124,0.168
georgia,high,124,0.168
georgia,low,133,0.139
georgia,average,133,0.139
georgia,high,133,0.139
georgia,low,134,0.139
georgia,average,134,0.139
georgia,high,134,0.139
illinois,low,111,0.086
illinois,average,111,0.086
illinois,high,111,0.086
illinois,low,112,0.086
illinois,average,112,0.086
illinois,high,112,0.086
illinois,low,113,0.086
illinois,average,113,0.086
illinois,high,113,0.086
illinois,low,114,0.086
illinois,average,114,0.086
illinois,high,114,0.086
illinois,low,121,0.072
illinois,average,121,0.072
illinois,high,121,0.072
illinois,low,122,0.072
illinois,average,122,0.072
illinois,high,122,0.072
illinois,low,123,0.072
illinois,average,123,0.072
illinois,high,123,0.072
illinois,low,124,0.072
illinois,average,124,0.072
illinois,high,124,0.072
illinois,low,132,0.068
illinois,average,132,0.068
illinois,high,132,0.068
illinois,low,134,0.068
illinois,average,134,0.068
illinois,high,134,0.068
illinois,low,144,0.121
illinois,average,144,0.121
illinois,high,144,0.121
indiana,low,111,0.136
indiana,average,111,0.136
indiana,high,111,0.136
indiana,low,112,0.136
indiana,average,112,0.136
indiana,high,112,0.136
indiana,low,113,0.136
indiana,average,113,0.136
indiana,high,113,0.136
indiana,low,121,0.135
indiana,average,121,0.135
indiana,high,121,0.135
indiana,low,131,0.115
indiana,average,131,0.115
indiana,high,131,0.115
indiana,low,133,0.115
indiana,average,133,0.115
indiana,high,133,0.115
iowa,low,111,0.124
iowa,average,111,0.124
iowa,high,111,0.124
iowa,low,112,0.124
iowa,average,112,0.124
iowa,high,112,0.124
iowa,low,113,0.124
iowa,average,113,0.124
iowa,high,113,0.124
iowa,low,121,0.103
iowa,average,121,0.103
iowa,high,121,0.103
