state,protection,territory_code,rate
new_york,protected_1,111,0.707
new_york,protected_2,111,0.714
new_york,protected_3,111,0.721
new_york,protected_4,111,0.728
new_york,protected_5,111,0.735
new_york,partially_protected,111,1.158
new_york,unprotected,111,1.526
new_york,protected_1,112,0.707
new_york,protected_2,112,0.714
new_york,protected_3,112,0.721
new_york,protected_4,112,0.728
new_york,protected_5,112,0.735
new_york,partially_protected,112,1.158
new_york,unprotected,112,1.526
new_york,protected_1,113,0.707
new_york,protected_2,113,0.714
new_york,protected_3,113,0.721
new_york,protected_4,113,0.728
new_york,protected_5,113,0.735
new_york,partially_protected,113,1.158
new_york,unprotected,113,1.526
new_york,protected_1,114,0.707
new_york,protected_2,114,0.714
new_york,protected_3,114,0.721
new_york,protected_4,114,0.728
new_york,protected_5,114,0.735
new_york,partially_protected,114,1.158
new_york,unprotected,114,1.526
new_york,protected_1,115,0.707
new_york,protected_2,115,0.714
new_york,protected_3,115,0.721
new_york,protected_4,115,0.728
new_york,protected_5,115,0.735
new_york,partially_protected,115,1.158
new_york,unprotected,115,1.526
new_york,protected_1,116,0.707
new_york,protected_2,116,0.714
new_york,protected_3,116,0.721
new_york,protected_4,116,0.728
new_york,protected_5,116,0.735
new_york,partially_protected,116,1.158
new_york,unprotected,116,1.526
new_york,protected_1,126,0.707
new_york,protected_2,126,0.714
new_york,protected_3,126,0.721
new_york,protected_4,126,0.728
new_york,protected_5,126,0.735
new_york,partially_protected,126,1.158
new_york,unprotected,126,1.526
new_york,protected_1,136,0.707
new_york,protected_2,136,0.714
new_york,protected_3,136,0.721
new_york,protected_4,136,0.728
new_york,protected_5,136,0.735
new_york,partially_protected,136,1.158
new_york,unprotected,136,1.526
new_york,protected_1,141,0.661
new_york,protected_2,141,0.667
new_york,protected_3,141,0.674
new_york,protected_4,141,0.681
new_york,protected_5,141,0.687
new_york,partially_protected,141,1.158
new_york,unprotected,141,1.526
new_york,protected_1,142,0.661
new_york,protected_2,142,0.667
new_york,protected_3,142,0.674
new_york,protected_4,142,0.681
new_york,protected_5,142,0.687
new_york,partially_protected,142,1.158
new_york,unprotected,142,1.526
new_york,protected_1,143,0.661
new_york,protected_2,143,0.667
new_york,protected_3,143,0.674
new_york,protected_4,143,0.681
new_york,protected_5,143,0.687
new_york,partially_protected,143,1.158
new_york,unprotected,143,1.526
new_york,protected_1,144,0.661
new_york,protected_2,144,0.667
new_york,protected_3,144,0.674
new_york,protected_4,144,0.681
new_york,protected_5,144,0.687
new_york,partially_protected,144,1.158
new_york,unprotected,144,1.526
new_york,protected_1,151,0.707
new_york,protected_2,151,0.714
new_york,protected_3,151,0.721
new_york,protected_4,151,0.728
new_york,protected_5,151,0.735
new_york,partially_protected,151,1.158
new_york,unprotected,151,1.526
new_york,protected_1,152,0.707
new_york,protected_2,152,0.714
new_york,protected_3,152,0.721
new_york,protected_4,152,0.728
new_york,protected_5,152,0.735
new_york,partially_protected,152,1.158
new_york,unprotected,152,1.526
new_york,protected_1,153,0.707
new_york,protected_2,153,0.714
new_york,protected_3,153,0.721
new_york,protected_4,153,0.728
new_york,protected_5,153,0.735
new_york,partially_protected,153,1.158
new_york,unprotected,153,1.526
new_york,protected_1,154,0.707
new_york,protected_2,154,0.714
new_york,protected_3,154,0.721
new_york,protected_4,154,0.728
new_york,protected_5,154,0.735
new_york,partially_protected,154,1.158
new_york,unprotected,154,1.526
new_york,protected_1,155,0.707
new_york,protected_2,155,0.714
new_york,protected_3,155,0.721
new_york,protected_4,155,0.728
new_york,protected_5,155,0.735
new_york,partially_protected,155,1.158
new_york,unprotected,155,1.526
new_york,protected_1,156,0.707
new_york,protected_2,156,0.714
new_york,protected_3,156,0.721
new_york,protected_4,156,0.728
new_york,protected_5,156,0.735
new_york,partially_protected,156,1.158
new_york,unprotected,156,1.526
arizona,protected_1,110,0.784
arizona,protected_2,110,0.792
arizona,protected_3,110,0.8
arizona,protected_4,110,0.808
arizona,protected_5,110,0.816
arizona,partially_protected,110,1.158
arizona,unprotected,110,1.526
arizona,protected_1,120,0.784
arizona,protected_2,120,0.792
arizona,protected_3,120,0.8
arizona,protected_4,120,0.808
arizona,protected_5,120,0.816
arizona,partially_protected,120,1.158
arizona,unprotected,120,1.526
arizona,protected_1,130,0.784
arizona,protected_2,130,0.792
arizona,protected_3,130,0.8
arizona,protected_4,130,0.808
arizona,protected_5,130,0.816
arizona,partially_protected,130,1.158
arizona,unprotected,130,1.526
arizona,protected_1,140,0.784
arizona,protected_2,140,0.792
arizona,protected_3,140,0.8
arizona,protected_4,140,0.808
arizona,protected_5,140,0.816
arizona,partially_protected,140,1.158
arizona,unprotected,140,1.526
arizona,protected_1,150,0.784
arizona,protected_2,150,0.792
arizona,protected_3,150,0.8
arizona,protected_4,150,0.808
arizona,protected_5,150,0.816
arizona,partially_protected,150,1.158
arizona,unprotected,150,1.526
alaska,protected_1,110,0.722
alaska,protected_2,110,0.73
alaska,protected_3,110,0.737
alaska,protected_4,110,0.744
alaska,protected_5,110,0.752
alaska,partially_protected,110,1.158
alaska,unprotected,110,1.526
alaska,protected_1,120,0.722
alaska,protected_2,120,0.73
alaska,protected_3,120,0.737
alaska,protected_4,120,0.744
alaska,protected_5,120,0.752
alaska,partially_protected,120,1.158
alaska,unprotected,120,1.526
