state,protection,rate
iowa,protected_1,0.872
iowa,protected_2,0.881
iowa,protected_3,0.89
iowa,protected_4,0.899
iowa,protected_5,0.908
iowa,partially_protected,1.15
iowa,unprotected,1.45
montana,protected_1,0.823
montana,protected_2,0.832
montana,protected_3,0.84
montana,protected_4,0.848
montana,protected_5,0.857
montana,partially_protected,1.15
montana,unprotected,1.45
nebraska,protected_1,0.921
nebraska,protected_2,0.931
nebraska,protected_3,0.94
nebraska,protected_4,0.949
nebraska,protected_5,0.959
nebraska,partially_protected,1.15
nebraska,unprotected,1.45
arkansas,protected_1,0.872
arkansas,protected_2,0.881
arkansas,protected_3,0.89
arkansas,protected_4,0.899
arkansas,protected_5,0.908
arkansas,partially_protected,1.15
arkansas,unprotected,1.45
colorado,protected_1,0.872
colorado,protected_2,0.881
colorado,protected_3,0.89
colorado,protected_4,0.899
colorado,protected_5,0.908
colorado,partially_protected,1.15
colorado,unprotected,1.45
georgia,protected_1,0.823
georgia,protected_2,0.832
georgia,protected_3,0.84
georgia,protected_4,0.848
georgia,protected_5,0.857
georgia,partially_protected,1.15
georgia,unprotected,1.45
illinois,protected_1,0.872
illinois,protected_2,0.881
illinois,protected_3,0.89
illinois,protected_4,0.899
illinois,protected_5,0.908
illinois,partially_protected,1.15
illinois,unprotected,1.45
indiana,protected_1,0.872
indiana,protected_2,0.881
indiana,protected_3,0.89
indiana,protected_4,0.899
indiana,protected_5,0.908
indiana,partially_protected,1.15
indiana,unprotected,1.45
kentucky,protected_1,0.872
kentucky,protected_2,0.881
kentucky,protected_3,0.89
kentucky,protected_4,0.899
kentucky,protected_5,0.908
kentucky,partially_protected,1.15
kentucky,unprotected,1.45
minnesota,protected_1,0.823
minnesota,protected_2,0.832
minnesota,protected_3,0.84
minnesota,protected_4,0.848
minnesota,protected_5,0.857
minnesota,partially_protected,1.15
minnesota,unprotected,1.45
missouri,protected_1,0.823
missouri,protected_2,0.832
missouri,protected_3,0.84
missouri,protected_4,0.848
missouri,protected_5,0.857
missouri,partially_protected,1.15
missouri,unprotected,1.45
north_dakota,protected_1,0.921
north_dakota,protected_2,0.931
north_dakota,protected_3,0.94
north_dakota,protected_4,0.949
north_dakota,protected_5,0.959
north_dakota,partially_protected,1.15
north_dakota,unprotected,1.45
ohio,protected_1,0.823
ohio,protected_2,0.832
ohio,protected_3,0.84
ohio,protected_4,0.848
ohio,protected_5,0.857
ohio,partially_protected,1.15
ohio,unprotected,1.45
pennsylvania,protected_1,0.823
pennsylvania,protected_2,0.832
pennsylvania,protected_3,0.84
pennsylvania,protected_4,0.848
pennsylvania,protected_5,0.857
pennsylvania,partially_protected,1.15
pennsylvania,unprotected,1.45
south_dakota,protected_1,0.921
south_dakota,protected_2,0.931
south_dakota,protected_3,0.94
south_dakota,protected_4,0.949
south_dakota,protected_5,0.959
south_dakota,partially_protected,1.15
south_dakota,unprotected,1.45
texas,protected_1,0.872
texas,protected_2,0.881
texas,protected_3,0.89
texas,protected_4,0.899
texas,protected_5,0.908
texas,partially_protected,1.15
