state,water_utility_selection,rate
iowa,water_sup_yes,0.28796
arkansas,water_sup_yes,0.28796
colorado,water_sup_yes,0.28796
georgia,water_sup_yes,0.28796
illinois,water_sup_yes,0.28796
indiana,water_sup_yes,0.28796
kentucky,water_sup_yes,0.28796
minnesota,water_sup_yes,0.28796
missouri,water_sup_yes,0.28796
montana,water_sup_yes,0.28796
nebraska,water_sup_yes,0.288
north_dakota,water_sup_yes,0.28796
ohio,water_sup_yes,0.28796
pennsylvania,water_sup_yes,0.28796
south_dakota,water_sup_yes,0.28796
texas,water_sup_yes,0.28796
washington,water_sup_yes,0.28796
wyoming,water_sup_yes,0.28796
new_mexico,water_sup_yes,0.28796
idaho,water_sup_yes,0.28796
oklahoma,water_sup_yes,0.28796
south_carolina,water_sup_yes,0.28796
north_carolina,water_sup_yes,0.28796
michigan,water_sup_yes,0.28796
tennessee,water_sup_yes,0.28796
mississippi,water_sup_yes,0.30048
utah,water_sup_yes,0.28796
wisconsin,water_sup_yes,0.28796
nevada,water_sup_yes,0.28796
kansas,water_sup_yes,0.28796
new_york,water_sup_yes,0.28796
alabama,water_sup_yes,0.2875
new_jersey,water_sup_yes,0.313
oregon,water_sup_yes,0.28796
west_virginia,water_sup_yes,0.28796
new_hampshire,water_sup_yes,0.28796
california,water_sup_yes,0.33804
connecticut,water_sup_yes,0.28796
arizona,water_sup_yes,0.28796
alaska,water_sup_yes,0.28796
iowa,water_sup_no,0
arkansas,water_sup_no,0
colorado,water_sup_no,0
georgia,water_sup_no,0
illinois,water_sup_no,0
indiana,water_sup_no,0
kentucky,water_sup_no,0
minnesota,water_sup_no,0
missouri,water_sup_no,0
montana,water_sup_no,0
nebraska,water_sup_no,0
north_dakota,water_sup_no,0
ohio,water_sup_no,0
pennsylvania,water_sup_no,0
south_dakota,water_sup_no,0
texas,water_sup_no,0
washington,water_sup_no,0
wyoming,water_sup_no,0
new_mexico,water_sup_no,0
idaho,water_sup_no,0
oklahoma,water_sup_no,0
south_carolina,water_sup_no,0
north_carolina,water_sup_no,0
michigan,water_sup_no,0
tennessee,water_sup_no,0
mississippi,water_sup_no,0
utah,water_sup_no,0
wisconsin,water_sup_no,0
nevada,water_sup_no,0
kansas,water_sup_no,0
new_york,water_sup_no,0
alabama,water_sup_no,0
new_jersey,water_sup_no,0
oregon,water_sup_no,0
west_virginia,water_sup_no,0
new_hampshire,water_sup_no,0
california,water_sup_no,0
connecticut,water_sup_no,0
arizona,water_sup_no,0
alaska,water_sup_no,0
