state,territory_code,construction_type,rate
ar,111,frame,0.207
ar,111,masonry_joisted,0.207
ar,111,non_combustible,0.207
ar,111,masonry_non_combustible,0.082
ar,111,modified_fire_resistive,0.071
ar,111,fire_resistive,0.071
ar,131,frame,0.207
ar,131,masonry_joisted,0.207
ar,131,non_combustible,0.207
ar,131,masonry_non_combustible,0.082
ar,131,modified_fire_resistive,0.071
ar,131,fire_resistive,0.071
ar,112,frame,0.203
ar,112,masonry_joisted,0.203
ar,112,non_combustible,0.203
ar,112,masonry_non_combustible,0.081
ar,112,modified_fire_resistive,0.069
ar,112,fire_resistive,0.069
ar,122,frame,0.203
ar,122,masonry_joisted,0.203
ar,122,non_combustible,0.203
ar,122,masonry_non_combustible,0.081
ar,122,modified_fire_resistive,0.069
ar,122,fire_resistive,0.069
ar,132,frame,0.203
ar,132,masonry_joisted,0.203
ar,132,non_combustible,0.203
ar,132,masonry_non_combustible,0.081
ar,132,modified_fire_resistive,0.069
ar,132,fire_resistive,0.069
co,111,frame,0.026
co,111,masonry_joisted,0.026
co,111,non_combustible,0.026
co,111,masonry_non_combustible,0.011
co,111,modified_fire_resistive,0.006
co,111,fire_resistive,0.006
co,112,frame,0.026
co,112,masonry_joisted,0.026
co,112,non_combustible,0.026
co,112,masonry_non_combustible,0.011
co,112,modified_fire_resistive,0.006
co,112,fire_resistive,0.006
co,113,frame,0.114
co,113,masonry_joisted,0.114
co,113,non_combustible,0.114
co,113,masonry_non_combustible,0.012
co,113,modified_fire_resistive,0.005
co,113,fire_resistive,0.005
co,133,frame,0.114
co,133,masonry_joisted,0.114
co,133,non_combustible,0.114
co,133,masonry_non_combustible,0.012
co,133,modified_fire_resistive,0.005
co,133,fire_resistive,0.005
co,114,frame,0.116
co,114,masonry_joisted,0.116
co,114,non_combustible,0.116
co,114,masonry_non_combustible,0.012
co,114,modified_fire_resistive,0.005
co,114,fire_resistive,0.005
ga,111,frame,0.403
ga,111,masonry_joisted,0.403
ga,111,non_combustible,0.403
ga,111,masonry_non_combustible,0.128
ga,111,modified_fire_resistive,0.102
ga,111,fire_resistive,0.102
ga,112,frame,0.204
ga,112,masonry_joisted,0.204
ga,112,non_combustible,0.204
ga,112,masonry_non_combustible,0.048
ga,112,modified_fire_resistive,0.038
ga,112,fire_resistive,0.038
ga,113,frame,0.104
ga,113,masonry_joisted,0.104
ga,113,non_combustible,0.104
ga,113,masonry_non_combustible,0.038
ga,113,modified_fire_resistive,0.03
ga,113,fire_resistive,0.03
ga,114,frame,0.11
ga,114,masonry_joisted,0.11
ga,114,non_combustible,0.11
ga,114,masonry_non_combustible,0.04
ga,114,modified_fire_resistive,0.032
ga,114,fire_resistive,0.032
ga,122,frame,0.204
ga,122,masonry_joisted,0.204
ga,122,non_combustible,0.204
ga,122,masonry_non_combustible,0.048
ga,122,modified_fire_resistive,0.038
ga,122,fire_resistive,0.038
ga,123,frame,0.104
ga,123,masonry_joisted,0.104
ga,123,non_combustible,0.104
ga,123,masonry_non_combustible,0.038
ga,123,modified_fire_resistive,0.03
ga,123,fire_resistive,0.03
ga,124,frame,0.11
ga,124,masonry_joisted,0.11
ga,124,non_combustible,0.11
ga,124,masonry_non_combustible,0.04
ga,124,modified_fire_resistive,0.032
ga,124,fire_resistive,0.032
ga,133,frame,0.104
ga,133,masonry_joisted,0.104
ga,133,non_combustible,0.104
ga,133,masonry_non_combustible,0.038
ga,133,modified_fire_resistive,0.03
ga,133,fire_resistive,0.03
ga,134,frame,0.11
ga,134,masonry_joisted,0.11
ga,134,non_combustible,0.11
ga,134,masonry_non_combustible,0.04
ga,134,modified_fire_resistive,0.032
ga,134,fire_resistive,0.032
id,111,frame,0.04
id,111,masonry_joisted,0.04
id,111,non_combustible,0.04
id,111,masonry_non_combustible,0.021
id,111,modified_fire_resistive,0.016
id,111,fire_resistive,0.016
id,112,frame,0.04
id,112,masonry_joisted,0.04
id,112,non_combustible,0.04
id,112,masonry_non_combustible,0.021
id,112,modified_fire_resistive,0.015
id,112,fire_resistive,0.015
id,122,frame,0.04
id,122,masonry_joisted,0.04
id,122,non_combustible,0.04
id,122,masonry_non_combustible,0.021
id,122,modified_fire_resistive,0.015
id,122,fire_resistive,0.015
il,111,frame,0.117
il,111,masonry_joisted,0.117
il,111,non_combustible,0.117
il,111,masonry_non_combustible,0.034
il,111,modified_fire_resistive,0.023
il,111,fire_resistive,0.023
il,121,frame,0.117
il,121,masonry_joisted,0.117
il,121,non_combustible,0.117
il,121,masonry_non_combustible,0.034
il,121,modified_fire_resistive,0.023
il,121,fire_resistive,0.023
il,112,frame,0.117
il,112,masonry_joisted,0.117
il,112,non_combustible,0.117
il,112,masonry_non_combustible,0.034
il,112,modified_fire_resistive,0.023
il,112,fire_resistive,0.023
il,122,frame,0.117
il,122,masonry_joisted,0.117
il,122,non_combustible,0.117
il,122,masonry_non_combustible,0.034
il,122,modified_fire_resistive,0.023
il,122,fire_resistive,0.023
il,132,frame,0.117
il,132,masonry_joisted,0.117
il,132,non_combustible,0.117
il,132,masonry_non_combustible,0.034
il,132,modified_fire_resistive,0.023
il,132,fire_resistive,0.023
il,114,frame,0.079
il,114,masonry_joisted,0.079
il,114,non_combustible,0.079
il,114,masonry_non_combustible,0.044
il,114,modified_fire_resistive,0.032
il,114,fire_resistive,0.032
il,124,frame,0.079
il,124,masonry_joisted,0.079
il,124,non_combustible,0.079
il,124,masonry_non_combustible,0.044
il,124,modified_fire_resistive,0.032
il,124,fire_resistive,0.032
il,134,frame,0.079
il,134,masonry_joisted,0.079
il,134,non_combustible,0.079
il,134,masonry_non_combustible,0.044
il,134,modified_fire_resistive,0.032
il,134,fire_resistive,0.032
il,144,frame,0.079
il,144,masonry_joisted,0.079
il,144,non_combustible,0.079
il,144,masonry_non_combustible,0.044
il,144,modified_fire_resistive,0.032
il,144,fire_resistive,0.032
il,113,frame,0.109
il,113,masonry_joisted,0.109
il,113,non_combustible,0.109
il,113,masonry_non_combustible,0.044
il,113,modified_fire_resistive,0.032
il,113,fire_resistive,0.032
il,123,frame,0.109
il,123,masonry_joisted,0.109
il,123,non_combustible,0.109
il,123,masonry_non_combustible,0.044
il,123,modified_fire_resistive,0.032
il,123,fire_resistive,0.032
in,111,frame,0.138
in,111,masonry_joisted,0.138
in,111,non_combustible,0.138
in,111,masonry_non_combustible,0.033
in,111,modified_fire_resistive,0.026
in,111,fire_resistive,0.026
in,121,frame,0.138
in,121,masonry_joisted,0.138
in,121,non_combustible,0.138
in,121,masonry_non_combustible,0.033
in,121,modified_fire_resistive,0.026
in,121,fire_resistive,0.026
in,131,frame,0.138
in,131,masonry_joisted,0.138
in,131,non_combustible,0.138
in,131,masonry_non_combustible,0.033
in,131,modified_fire_resistive,0.026
in,131,fire_resistive,0.026
in,112,frame,0.119
in,112,masonry_joisted,0.119
in,112,non_combustible,0.119
in,112,masonry_non_combustible,0.029
in,112,modified_fire_resistive,0.023
in,112,fire_resistive,0.023
in,113,frame,0.13
in,113,masonry_joisted,0.13
in,113,non_combustible,0.13
in,113,masonry_non_combustible,0.031
in,113,modified_fire_resistive,0.025
in,113,fire_resistive,0.025
in,133,frame,0.13
in,133,masonry_joisted,0.13
in,133,non_combustible,0.13
in,133,masonry_non_combustible,0.031
in,133,modified_fire_resistive,0.025
in,133,fire_resistive,0.025
ia,111,frame,0.146
ia,111,masonry_joisted,0.146
ia,111,non_combustible,0.146
ia,111,masonry_non_combustible,0.019
ia,111,modified_fire_resistive,0.015
ia,111,fire_resistive,0.015
ia,112,frame,0.159
ia,112,masonry_joisted,0.159
ia,112,non_combustible,0.159
ia,112,masonry_non_combustible,0.021
ia,112,modified_fire_resistive,0.017
ia,112,fire_resistive,0.017
ia,113,frame,0.149
ia,113,masonry_joisted,0.149
ia,113,non_combustible,0.149
ia,113,masonry_non_combustible,0.02
ia,113,modified_fire_resistive,0.016
ia,113,fire_resistive,0.016
ia,121,frame,0.146
ia,121,masonry_joisted,0.146
ia,121,non_combustible,0.146
ia,121,masonry_non_combustible,0.019
ia,121,modified_fire_resistive,0.015
ia,121,fire_resistive,0.015
ia,122,frame,0.159
ia,122,masonry_joisted,0.159
ia,122,non_combustible,0.159
ia,122,masonry_non_combustible,0.021
ia,122,modified_fire_resistive,0.017
ia,122,fire_resistive,0.017
ia,123,frame,0.149
ia,123,masonry_joisted,0.149
ia,123,non_combustible,0.149
ia,123,masonry_non_combustible,0.02
ia,123,modified_fire_resistive,0.016
ia,123,fire_resistive,0.016
ky,111,frame,0.102
ky,111,masonry_joisted,0.102
ky,111,non_combustible,0.102
ky,111,masonry_non_combustible,0.045
ky,111,modified_fire_resistive,0.036
ky,111,fire_resistive,0.036
ky,112,frame,0.109
ky,112,masonry_joisted,0.109
ky,112,non_combustible,0.109
ky,112,masonry_non_combustible,0.048
ky,112,modified_fire_resistive,0.039
ky,112,fire_resistive,0.039
ky,122,frame,0.109
ky,122,masonry_joisted,0.109
ky,122,non_combustible,0.109
ky,122,masonry_non_combustible,0.048
ky,122,modified_fire_resistive,0.039
ky,122,fire_resistive,0.039
ky,132,frame,0.109
ky,132,masonry_joisted,0.109
ky,132,non_combustible,0.109
ky,132,masonry_non_combustible,0.048
ky,132,modified_fire_resistive,0.039
ky,132,fire_resistive,0.039
ky,141,frame,0.102
ky,141,masonry_joisted,0.102
ky,141,non_combustible,0.102
ky,141,masonry_non_combustible,0.045
ky,141,modified_fire_resistive,0.036
ky,141,fire_resistive,0.036
ky,142,frame,0.102
ky,142,masonry_joisted,0.102
ky,142,non_combustible,0.102
ky,142,masonry_non_combustible,0.045
ky,142,modified_fire_resistive,0.036
ky,142,fire_resistive,0.036
mn,111,frame,0.103
mn,111,masonry_joisted,0.103
mn,111,non_combustible,0.103
mn,111,masonry_non_combustible,0.025
mn,111,modified_fire_resistive,0.017
mn,111,fire_resistive,0.017
mn,141,frame,0.103
mn,141,masonry_joisted,0.103
mn,141,non_combustible,0.103
mn,141,masonry_non_combustible,0.025
mn,141,modified_fire_resistive,0.017
mn,141,fire_resistive,0.017
mn,112,frame,0.103
mn,112,masonry_joisted,0.103
mn,112,non_combustible,0.103
mn,112,masonry_non_combustible,0.025
mn,112,modified_fire_resistive,0.017
mn,112,fire_resistive,0.017
mn,122,frame,0.103
mn,122,masonry_joisted,0.103
mn,122,non_combustible,0.103
mn,122,masonry_non_combustible,0.025
mn,122,modified_fire_resistive,0.017
mn,122,fire_resistive,0.017
mn,132,frame,0.103
mn,132,masonry_joisted,0.103
mn,132,non_combustible,0.103
mn,132,masonry_non_combustible,0.025
mn,132,modified_fire_resistive,0.017
mn,132,fire_resistive,0.017
mn,142,frame,0.103
mn,142,masonry_joisted,0.103
mn,142,non_combustible,0.103
mn,142,masonry_non_combustible,0.025
mn,142,modified_fire_resistive,0.017
mn,142,fire_resistive,0.017
mn,113,frame,0.103
mn,113,masonry_joisted,0.103
mn,113,non_combustible,0.103
mn,113,masonry_non_combustible,0.025
mn,113,modified_fire_resistive,0.017
mn,113,fire_resistive,0.017
mn,143,frame,0.103
mn,143,masonry_joisted,0.103
mn,143,non_combustible,0.103
mn,143,masonry_non_combustible,0.025
mn,143,modified_fire_resistive,0.017
mn,143,fire_resistive,0.017
mn,114,frame,0.103
mn,114,masonry_joisted,0.103
mn,114,non_combustible,0.103
mn,114,masonry_non_combustible,0.025
mn,114,modified_fire_resistive,0.017
mn,114,fire_resistive,0.017
mn,144,frame,0.103
mn,144,masonry_joisted,0.103
mn,144,non_combustible,0.103
mn,144,masonry_non_combustible,0.025
mn,144,modified_fire_resistive,0.017
mn,144,fire_resistive,0.017
mn,115,frame,0.103
mn,115,masonry_joisted,0.103
mn,115,non_combustible,0.103
mn,115,masonry_non_combustible,0.025
mn,115,modified_fire_resistive,0.017
mn,115,fire_resistive,0.017
mn,145,frame,0.103
mn,145,masonry_joisted,0.103
mn,145,non_combustible,0.103
mn,145,masonry_non_combustible,0.025
mn,145,modified_fire_resistive,0.017
mn,145,fire_resistive,0.017
mo,111,frame,0.239
mo,111,masonry_joisted,0.239
mo,111,non_combustible,0.239
mo,111,masonry_non_combustible,0.079
mo,111,modified_fire_resistive,0.064
mo,111,fire_resistive,0.064
mo,112,frame,0.238
mo,112,masonry_joisted,0.238
mo,112,non_combustible,0.238
mo,112,masonry_non_combustible,0.079
mo,112,modified_fire_resistive,0.063
mo,112,fire_resistive,0.063
mo,122,frame,0.238
mo,122,masonry_joisted,0.238
mo,122,non_combustible,0.238
mo,122,masonry_non_combustible,0.079
mo,122,modified_fire_resistive,0.063
mo,122,fire_resistive,0.063
mo,113,frame,0.235
mo,113,masonry_joisted,0.235
mo,113,non_combustible,0.235
mo,113,masonry_non_combustible,0.078
