state,territory_code,fire_susceptibility,rate
ar,111,low,0.267
ar,111,average,0.374
ar,111,high,0.445
ar,112,low,0.267
ar,112,average,0.374
ar,112,high,0.445
ar,122,low,0.213
ar,122,average,0.298
ar,122,high,0.355
ar,131,low,0.223
ar,131,average,0.312
ar,131,high,0.371
ar,132,low,0.223
ar,132,average,0.312
ar,132,high,0.371
co,111,low,0.095
co,111,average,0.131
co,111,high,0.156
co,112,low,0.095
co,112,average,0.131
co,112,high,0.156
co,113,low,0.095
co,113,average,0.131
co,113,high,0.156
co,114,low,0.095
co,114,average,0.131
co,114,high,0.156
co,124,low,0.092
co,124,average,0.126
co,124,high,0.150
co,133,low,0.007
co,133,average,0.010
co,133,high,0.012
co,134,low,0.007
co,134,average,0.010
co,134,high,0.012
ga,111,low,0.175
ga,111,average,0.243
ga,111,high,0.290
ga,112,low,0.175
ga,112,average,0.243
ga,112,high,0.290
ga,113,low,0.175
ga,113,average,0.243
ga,113,high,0.290
ga,114,low,0.175
ga,114,average,0.243
ga,114,high,0.290
ga,122,low,0.184
ga,122,average,0.257
ga,122,high,0.305
ga,123,low,0.184
ga,123,average,0.257
ga,123,high,0.305
ga,124,low,0.184
ga,124,average,0.257
ga,124,high,0.305
ga,133,low,0.153
ga,133,average,0.213
ga,133,high,0.253
ga,134,low,0.153
ga,134,average,0.213
ga,134,high,0.253
id,111,low,0.143
id,111,average,0.199
id,111,high,0.236
id,112,low,0.143
id,112,average,0.199
id,112,high,0.236
id,122,low,0.125
id,122,average,0.175
id,122,high,0.207
il,111,low,0.091
il,111,average,0.126
il,111,high,0.149
il,112,low,0.091
il,112,average,0.126
il,112,high,0.149
il,113,low,0.091
il,113,average,0.126
il,113,high,0.149
il,114,low,0.091
il,114,average,0.126
il,114,high,0.149
il,121,low,0.077
il,121,average,0.106
il,121,high,0.125
il,122,low,0.077
il,122,average,0.106
il,122,high,0.125
il,123,low,0.077
il,123,average,0.106
il,123,high,0.125
il,124,low,0.077
il,124,average,0.106
il,124,high,0.125
il,132,low,0.072
il,132,average,0.098
il,132,high,0.116
il,134,low,0.072
il,134,average,0.098
il,134,high,0.116
il,144,low,0.129
il,144,average,0.180
il,144,high,0.213
in,111,low,0.149
in,111,average,0.207
in,111,high,0.246
in,112,low,0.149
in,112,average,0.207
in,112,high,0.246
in,113,low,0.149
in,113,average,0.207
in,113,high,0.246
in,121,low,0.147
in,121,average,0.205
in,121,high,0.243
in,131,low,0.125
in,131,average,0.174
in,131,high,0.206
in,131,low,0.125
in,131,average,0.174
in,131,high,0.206
ia,111,low,0.133
ia,111,average,0.185
ia,111,high,0.219
ia,112,low,0.133
ia,112,average,0.185
ia,112,high,0.219
ia,113,low,0.133
ia,113,average,0.185
ia,113,high,0.219
ia,121,low,0.110
ia,121,average,0.153
ia,121,high,0.181
ia,122,low,0.110
ia,122,average,0.153
ia,122,high,0.181
ia,123,low,0.110
ia,123,average,0.153
ia,123,high,0.181
ky,111,low,0.286
ky,111,average,0.400
ky,111,high,0.476
ky,112,low,0.286
ky,112,average,0.400
ky,112,high,0.476
ky,122,low,0.208
ky,122,average,0.290
ky,122,high,0.345
ky,132,low,0.234
ky,132,average,0.327
ky,132,high,0.390
ky,141,low,0.242
ky,141,average,0.338
ky,141,high,0.403
ky,142,low,0.242
ky,142,average,0.338
ky,142,high,0.403
mn,111,low,0.107
mn,111,average,0.148
mn,111,high,0.176
mn,112,low,0.107
mn,112,average,0.148
mn,112,high,0.176
mn,113,low,0.107
mn,113,average,0.148
mn,113,high,0.176
mn,114,low,0.107
mn,114,average,0.148
mn,114,high,0.176
mn,115,low,0.107
mn,115,average,0.148
mn,115,high,0.176
mn,122,low,0.171
mn,122,average,0.238
mn,122,high,0.284
mn,132,low,0.125
mn,132,average,0.174
mn,132,high,0.206
mn,141,low,0.098
mn,141,average,0.135
mn,141,high,0.161
mn,142,low,0.098
mn,142,average,0.135
mn,142,high,0.161
mn,143,low,0.098
mn,143,average,0.135
mn,143,high,0.161
mn,144,low,0.098
mn,144,average,0.135
mn,144,high,0.161
mn,145,low,0.098
mn,145,average,0.135
mn,145,high,0.161
mo,111,low,0.221
mo,111,average,0.310
mo,111,high,0.369
mo,112,low,0.221
mo,112,average,0.310
mo,112,high,0.369
mo,113,low,0.221
mo,113,average,0.310
mo,113,high,0.369
mo,122,low,0.276
mo,122,average,0.387
mo,122,high,0.460
mo,123,low,0.276
mo,123,average,0.387
mo,123,high,0.460
mt,111,low,0.176
mt,111,average,0.245
mt,111,high,0.292
mt,112,low,0.176
mt,112,average,0.245
mt,112,high,0.292
mt,121,low,0.147
mt,121,average,0.205
mt,121,high,0.243
mt,131,low,0.157
mt,131,average,0.219
mt,131,high,0.260
ne,111,low,0.138
ne,111,average,0.193
ne,111,high,0.229
ne,112,low,0.138
ne,112,average,0.193
ne,112,high,0.229
ne,113,low,0.138
ne,113,average,0.193
ne,113,high,0.229
ne,114,low,0.138
ne,114,average,0.193
ne,114,high,0.229
ne,122,low,0.131
ne,122,average,0.183
ne,122,high,0.217
ne,131,low,0.112
ne,131,average,0.156
ne,131,high,0.184
nm,111,low,0.141
nm,111,average,0.197
nm,111,high,0.233
nm,112,low,0.141
nm,112,average,0.197
nm,112,high,0.233
nm,113,low,0.141
nm,113,average,0.197
nm,113,high,0.233
nm,121,low,0.122
nm,121,average,0.170
nm,121,high,0.201
nm,122,low,0.122
nm,122,average,0.170
nm,122,high,0.201
nm,123,low,0.122
nm,123,average,0.170
nm,123,high,0.201
ny,111,low,0.228
ny,111,average,0.319
ny,111,high,0.380
ny,112,low,0.228
ny,112,average,0.319
ny,112,high,0.380
ny,113,low,0.228
ny,113,average,0.319
ny,113,high,0.380
ny,114,low,0.228
ny,114,average,0.319
ny,114,high,0.380
ny,115,low,0.228
ny,115,average,0.319
ny,115,high,0.380
ny,116,low,0.228
ny,116,average,0.319
ny,116,high,0.380
ny,126,low,0.249
ny,126,average,0.349
ny,126,high,0.415
ny,136,low,0.177
ny,136,average,0.246
ny,136,high,0.293
ny,141,low,0.148
ny,141,average,0.207
